City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
317,Champerico,14.3,-91.9167,86.0,66,90,4.61,GT,overcast clouds
318,Lamu,-2.2717,40.902,82.4,83,1,4.61,KE,light rain
319,Carmelo,-33.9892,-58.2856,73.0,94,0,6.91,UY,clear sky
320,Loei,17.4167,101.5,79.0,100,75,2.3,TH,light rain
321,Teahupoo,-17.8333,-149.2667,87.8,51,20,5.75,PF,few clouds
322,Ouallam,14.3188,2.0866,84.15,7,17,4.68,NE,few clouds
323,Sambava,-14.2667,50.1667,76.68,88,90,5.14,MG,light rain
324,Anadyr,64.75,177.4833,-4.0,71,0,6.71,RU,clear sky
325,Tilichiki,60.4667,166.1,15.04,88,100,6.55,RU,overcast clouds
326,Iquitos,-3.7481,-73.2472,78.8,89,40,1.14,PE,scattered clouds
327,Bintulu,3.1667,113.0333,82.4,83,20,4.61,MY,few clouds
328,Nola,40.922,14.5329,53.01,64,93,7.58,IT,overcast clouds
329,Cap Malheureux,-19.9842,57.6142,75.0,89,8,5.01,MU,clear sky
330,Staryy Nadym,65.6118,72.6842,25.97,94,100,14.74,RU,overcast clouds
331,Ishigaki,24.3448,124.1572,73.4,60,40,18.41,JP,scattered clouds
332,Quesnel,52.9999,-122.5029,48.2,49,20,3.44,CA,few clouds
333,Rawson,-43.3002,-65.1023,62.6,100,90,9.31,AR,fog
334,Lakselv,70.0513,24.9718,32.0,86,75,6.91,NO,light snow
335,Buta,2.7858,24.73,70.41,90,100,3.38,CD,overcast clouds
336,Tiksi,71.6872,128.8694,-1.46,88,10,5.32,RU,clear sky
337,Inirida,3.8653,-67.9239,73.27,96,100,3.24,CO,overcast clouds
338,Daru,-9.0763,143.2092,85.95,63,83,1.5,PG,broken clouds
339,Sombrio,-29.1139,-49.6167,67.91,89,4,6.44,BR,clear sky
340,Sinegorskiy,48.0139,40.8447,44.19,73,100,10.65,RU,overcast clouds
341,Coari,-4.085,-63.1414,74.71,98,80,2.15,BR,broken clouds
342,Yeppoon,-23.1333,150.7333,80.6,65,20,9.22,AU,few clouds
343,La Asuncion,11.0333,-63.8628,80.6,78,65,14.97,VE,broken clouds
344,Adeje,28.1227,-16.726,64.4,72,20,6.91,ES,few clouds
345,Hofn,64.2539,-15.2082,22.82,59,99,5.39,IS,overcast clouds
346,Kavieng,-2.5744,150.7967,84.02,68,92,7.43,PG,overcast clouds
